Record Type,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
BOAT,BOT,ALBANY,NY,12205,ALBANY,1971,STARC,BOAT,GAS,,,,06/22/2020,07/31/2023,,N,N,N
TRL,LTR,NAPLES,NY,14512,ONTARIO,2009,HOMEM,LTRL,NONE,,1445,,11/28/2020,12/31/2021,GY,N,N,N
BOAT,BOT,CANANDAIGUA,NY,14424,ONTARIO,1967,OD/DA,BOAT,GAS,,,,05/19/2021,04/30/2023,,N,N,N
TRL,LTR,NAPLES,NY,14512,ONTARIO,2007,CA/ON,LTRL,NONE,,2990,,11/28/2020,12/31/2021,BK,N,N,N
VEH,PAS,CAMDEN,NY,13316,ONEIDA,1924,FORD,CONV,GAS,1527,,,06/02/2021,07/06/2023,BK,N,N,N
BOAT,BOT,ONEONTA,NY,13820,OTSEGO,1968,ODAY,BOAT,GAS,,,,04/23/2021,06/30/2024,,N,N,N
TRL,TRL,WAYLAND,NY,14572,STEUBEN,2016,HOMEM,TRLR,NONE,,5000,,02/19/2021,12/31/2021,RD,N,N,N
TRL,TRL,SCHENECTADY,NY,12303,SCHENECTADY,1996,CUSTO,TRLR,NONE,,12000,,12/01/2020,12/31/2021,RD,N,N,N
TRL,TRL,LEVITTOWN,NY,11756,NASSAU,1996,CUSTO,TRLR,NONE,,9990,,12/21/2020,12/31/2021,BK,N,N,N
TRL,TRL,SO GLENS FALLS,NY,12803,SARATOGA,1999,CUSTO,TRLR,NONE,,2980,,12/16/2020,12/31/2021,BL,N,N,N
TRL,TRL,HADLEY,NY,12835,SARATOGA,1996,CUSTO,TRLR,NONE,,3880,,03/05/2021,12/31/2021,BK,N,N,N
TRL,TRL,CLAYTON,NY,13624,JEFFERSON,2000,DRAGG,TRLR,NONE,,9990,,11/23/2020,12/31/2021,BK,N,N,N
TRL,TRL,HUDSON FALLS,NY,12839,WASHINGTON,1996,CUSTO,TRLR,NONE,,3000,,11/20/2020,12/31/2021,RD,N,N,N
TRL,TRL,MINERVA,NY,12851,WARREN,1996,CUSTO,TRLR,NONE,,9900,,11/30/2020,12/31/2021,GR,N,N,N
VEH,SPC,BROOKLYN,NY,11232,KINGS,2005,MANIT,P/SH,PROPANE,7800,,,11/25/2020,12/31/2021,YW,N,N,N
TRL,TRL,WEST SENECA,NY,14224,ERIE,1999,TR/CR,TRLR,NONE,,9990,,04/19/2021,12/31/2021,YW,N,N,N
BOAT,BOT,EAST ROCKAWAY,NY,11518,NASSAU,1973,STARC,BOAT,GAS,,,,06/26/2019,09/30/2022,,N,N,N
TRL,TRL,APPLETON,NY,14008,NIAGARA,2003,TR/CR,TRLR,NONE,,9990,,03/21/2021,12/31/2021,BK,N,N,N
TRL,TRL,SPENCERPORT,NY,14559,MONROE,1998,TR/CR,TRLR,NONE,,9990,,11/02/2020,12/31/2021,GR,N,N,N
TRL,TRL,AVERILL PARK,NY,12018,RENSSELAER,2001,TRIPL,TRLR,NONE,,2500,,01/08/2021,12/31/2021,BK,N,N,N
TRL,TRL,SILVER SPRINGS,NY,14550,WYOMING,2002,TR/CR,TRLR,NONE,,10000,,12/10/2020,12/31/2021,BK,N,N,N
TRL,TRL,MATTYDALE,NY,13211,ONONDAGA,2001,TRIPL,TRLR,NONE,,8000,,01/15/2021,12/31/2021,BK,N,N,N
TRL,TRL,HEMPSTEAD,NY,11550,NASSAU,2002,TRIPL,TRLR,NONE,,2850,,01/12/2021,12/31/2021,BK,N,N,N
TRL,TRL,EAST QUOGUE,NY,11942,SUFFOLK,2005,TR/CR,TRLR,NONE,,2975,,11/27/2020,12/31/2021,BK,N,N,N
TRL,TRL,SYRACUSE,NY,13206,ONONDAGA,2006,TR/CR,TRLR,NONE,,9990,,12/04/2020,12/31/2021,BK,N,N,N
TRL,TRL,POTSDAM,NY,13676,ST LAWRENCE,2004,TR/CR,DUMP,NONE,,4000,,04/07/2021,12/31/2021,BK,N,N,N
TRL,TRL,SCOTTSVILLE,NY,14546,MONROE,2001,TR/CR,TRLR,NONE,,9990,,11/12/2020,12/31/2021,BK,N,N,N
